Matrix Size ,Threads ,Time Overall (s) ,Time Computation (s) ,Time Other (s)
       5000 ,      1 ,         3.40401 ,             3.08953 ,       0.31448
       5000 ,      2 ,         1.93275 ,             1.61998 ,       0.31277
       5000 ,      4 ,         1.26210 ,             0.95155 ,       0.31055
      10000 ,      1 ,        13.98522 ,            12.53303 ,       1.45219
      10000 ,      2 ,         8.85745 ,             6.73154 ,       2.12591
      10000 ,      4 ,         5.74853 ,             3.74454 ,       2.00399
      20000 ,      1 ,        64.54779 ,            54.83022 ,       9.71757
      20000 ,      2 ,        35.64517 ,            27.54405 ,       8.10113
      20000 ,      4 ,        24.60792 ,            17.16161 ,       7.44631
