Matrix Size ,Processes ,OMP Threads ,Time Overall (s) ,Time Computation (s) ,Time Other (s)
       5000 ,        1 ,          1 ,         4.44762 ,             3.56501 ,       0.88261
       5000 ,        1 ,          2 ,         4.39700 ,             3.56314 ,       0.83386
       5000 ,        1 ,          4 ,         4.39271 ,             3.56263 ,       0.83008
       5000 ,        2 ,          1 ,         2.69585 ,             1.78947 ,       0.90638
       5000 ,        2 ,          2 ,         2.70185 ,             1.78721 ,       0.91463
       5000 ,        2 ,          4 ,         2.67163 ,             1.78776 ,       0.88387
       5000 ,        4 ,          1 ,         1.81065 ,             0.93482 ,       0.87583
       5000 ,        4 ,          2 ,         1.51070 ,             0.57880 ,       0.93190
       5000 ,        4 ,          4 ,         1.78019 ,             0.76982 ,       1.01036
      10000 ,        1 ,          1 ,        17.27634 ,            14.26935 ,       3.00700
      10000 ,        1 ,          2 ,        22.11423 ,            14.26000 ,       7.85423
      10000 ,        1 ,          4 ,        17.27858 ,            14.27963 ,       2.99895
      10000 ,        2 ,          1 ,        10.29360 ,             7.16117 ,       3.13243
      10000 ,        2 ,          2 ,        10.28974 ,             7.16112 ,       3.12862
      10000 ,        2 ,          4 ,        10.40341 ,             7.15144 ,       3.25197
      10000 ,        4 ,          1 ,         6.89817 ,             3.73237 ,       3.16580
      10000 ,        4 ,          2 ,         5.32700 ,             2.07524 ,       3.25176
      10000 ,        4 ,          4 ,         5.87990 ,             2.57381 ,       3.30608
      20000 ,        1 ,          1 ,        68.11134 ,            57.09906 ,      11.01227
      20000 ,        1 ,          2 ,        68.50062 ,            57.52104 ,      10.97958
      20000 ,        1 ,          4 ,        68.12250 ,            57.23110 ,      10.89140
      20000 ,        2 ,          1 ,        40.46115 ,            28.71577 ,      11.74538
      20000 ,        2 ,          2 ,        40.93007 ,            28.74534 ,      12.18473
      20000 ,        2 ,          4 ,        46.48556 ,            28.70057 ,      17.78500
      20000 ,        4 ,          1 ,        27.21498 ,            15.02607 ,      12.18891
      20000 ,        4 ,          2 ,        31.73686 ,             8.30660 ,      23.43026
      20000 ,        4 ,          4 ,        21.12685 ,             8.95002 ,      12.17683
           
       5000 ,        1 ,          1 ,         4.33415 ,             3.55825 ,       0.77590
       5000 ,        1 ,          2 ,         4.37478 ,             3.56691 ,       0.80787
       5000 ,        1 ,          4 ,         4.35702 ,             3.57385 ,       0.78317
       5000 ,        1 ,          8 ,         4.37357 ,             3.57465 ,       0.79891
       5000 ,        2 ,          1 ,         2.71022 ,             1.79273 ,       0.91748
       5000 ,        2 ,          2 ,         2.69093 ,             1.79657 ,       0.89436
       5000 ,        2 ,          4 ,         2.65135 ,             1.79203 ,       0.85931
       5000 ,        2 ,          8 ,         2.64376 ,             1.79338 ,       0.85039
       5000 ,        4 ,          1 ,         1.78960 ,             0.93432 ,       0.85528
       5000 ,        4 ,          2 ,         1.40744 ,             0.49236 ,       0.91508
       5000 ,        4 ,          4 ,         1.17160 ,             0.26981 ,       0.90179
       5000 ,        4 ,          8 ,         1.00579 ,             0.15858 ,       0.84721
       5000 ,        8 ,          1 ,         1.61982 ,             0.51850 ,       1.10132
       5000 ,        8 ,          2 ,         1.28165 ,             0.30221 ,       0.97944
       5000 ,        8 ,          4 ,         1.21484 ,             0.18859 ,       1.02625
       5000 ,        8 ,          8 ,         1.20485 ,             0.13278 ,       1.07206
      10000 ,        1 ,          1 ,        17.27519 ,            14.24513 ,       3.03007
      10000 ,        1 ,          2 ,        17.25475 ,            14.28050 ,       2.97425
      10000 ,        1 ,          4 ,        17.27295 ,            14.27966 ,       2.99329
      10000 ,        1 ,          8 ,        17.35654 ,            14.30599 ,       3.05055
      10000 ,        2 ,          1 ,        10.38330 ,             7.17161 ,       3.21169
      10000 ,        2 ,          2 ,        10.36516 ,             7.17461 ,       3.19054
      10000 ,        2 ,          4 ,        10.41615 ,             7.16850 ,       3.24765
      10000 ,        2 ,          8 ,        10.45685 ,             7.17239 ,       3.28446
      10000 ,        4 ,          1 ,         7.04328 ,             3.73313 ,       3.31015
      10000 ,        4 ,          2 ,         5.33350 ,             1.97170 ,       3.36180
      10000 ,        4 ,          4 ,         4.43872 ,             1.07645 ,       3.36226
      10000 ,        4 ,          8 ,         3.95653 ,             0.63518 ,       3.32136
      10000 ,        8 ,          1 ,         5.72915 ,             2.01804 ,       3.71111
      10000 ,        8 ,          2 ,         4.63653 ,             1.13810 ,       3.49843
      10000 ,        8 ,          4 ,         4.16589 ,             0.69260 ,       3.47329
      10000 ,        8 ,          8 ,         3.97678 ,             0.46997 ,       3.50682
