Matrix Size,Threads,Time Overall (s),Time Computation (s),Time Other (s)
5000,1,3.96665,3.54540,0.42125
5000,2,3.95315,3.54383,0.40932
5000,4,3.94112,3.54816,0.39296
10000,1,16.16971,14.19124,1.97847
10000,2,15.65877,14.19764,1.46113
10000,4,15.66928,14.18565,1.48363
20000,1,61.10250,56.82702,4.27548
20000,2,62.05392,56.88172,5.17219
20000,4,61.46460,56.84638,4.61822
