Matrix Size,Threads,Time Overall (s),Time Computation (s),Time Other (s)
5000,1,3.42202,3.09766,0.32436
5000,2,1.98278,1.65421,0.32857
5000,4,1.27722,0.95376,0.32346
10000,1,16.07740,14.34773,1.72967
10000,2,9.79089,7.06898,2.72191
10000,4,5.40026,3.75898,1.64128
20000,1,62.99066,54.86119,8.12947
20000,2,34.34337,26.64377,7.69960
20000,4,26.37523,16.68679,9.68843
